tconst,original_title,start_year,runtime_minutes,genres,budget,ww_gross,mpaa_rating,month
tt0249516,Foodfight!,2012,91.0,"['Action', 'Animation', 'Comedy']",65000000.0,120141.0,PG,2.0
tt0326965,In My Sleep,2010,104.0,"['Drama', 'Mystery', 'Thriller']",1000000.0,30158.0,PG-13,4.0
tt0331314,Bunyan and Babe,2017,84.0,"['Adventure', 'Animation', 'Comedy']",,72060.0,PG,1.0
tt0359950,The Secret Life of Walter Mitty,2013,114.0,"['Adventure', 'Comedy', 'Drama']",90000000.0,188133322.0,PG,12.0
tt0365907,A Walk Among the Tombstones,2014,114.0,"['Action', 'Crime', 'Drama']",28000000.0,58834384.0,R,9.0
tt0369610,Jurassic World,2015,124.0,"['Action', 'Adventure', 'Sci-Fi']",150000000.0,1670516444.0,PG-13,6.0
tt0372538,Spy,2011,110.0,"['Action', 'Crime', 'Drama']",5000000.0,235600000.0,Unrated,8.0
tt0376136,The Rum Diary,2011,119.0,"['Comedy', 'Drama']",45000000.0,30134958.0,R,10.0
tt0383010,The Three Stooges,2012,92.0,"['Comedy', 'Family']",30000000.0,54819301.0,PG,4.0
tt0398286,Tangled,2010,100.0,"['Adventure', 'Animation', 'Comedy']",260000000.0,592462816.0,PG,11.0
tt0401729,John Carter,2012,132.0,"['Action', 'Adventure', 'Sci-Fi']",250000000.0,284139100.0,PG-13,3.0
tt0404978,Gambit,2012,89.0,"['Comedy', 'Crime']",,10200000.0,PG-13,4.0
tt0409847,Cowboys & Aliens,2011,119.0,"['Action', 'Sci-Fi', 'Thriller']",163000000.0,174822325.0,PG-13,7.0
tt0411951,Tekken,2010,87.0,"['Action', 'Crime', 'Drama']",30000000.0,1697207.0,R,7.0
tt0420293,The Stanford Prison Experiment,2015,122.0,"['Biography', 'Drama', 'History']",,663114.0,R,7.0
tt0427152,Dinner for Schmucks,2010,114.0,['Comedy'],69000000.0,86855739.0,PG-13,7.0
tt0427543,A Million Little Pieces,2018,113.0,['Drama'],,89825.0,R,12.0
tt0429493,The A-Team,2010,117.0,"['Action', 'Adventure', 'Thriller']",110000000.0,177238796.0,PG-13,6.0
tt0431021,The Possession,2012,92.0,"['Horror', 'Mystery', 'Thriller']",14000000.0,85446075.0,PG-13,8.0
tt0433035,Real Steel,2011,127.0,"['Action', 'Drama', 'Family']",110000000.0,299268508.0,PG-13,10.0
tt0435651,The Giver,2014,97.0,"['Drama', 'Romance', 'Sci-Fi']",25000000.0,66980456.0,PG-13,8.0
tt0435761,Toy Story 3,2010,103.0,"['Adventure', 'Animation', 'Comedy']",200000000.0,1066970811.0,G,6.0
tt0437086,Alita: Battle Angel,2019,122.0,"['Action', 'Adventure', 'Sci-Fi']",170000000.0,404980543.0,PG-13,2.0
tt0443272,Lincoln,2012,150.0,"['Biography', 'Drama', 'History']",65000000.0,275293450.0,PG-13,11.0
tt0443465,Before We Go,2014,95.0,"['Comedy', 'Drama', 'Romance']",,462875.0,PG-13,7.0
tt0446029,Scott Pilgrim vs. the World,2010,112.0,"['Action', 'Comedy', 'Fantasy']",60000000.0,48917974.0,PG-13,8.0
tt0448022,A Bird of the Air,2011,108.0,"['Drama', 'Romance']",,10152.0,PG-13,9.0
tt0448115,Shazam!,2019,132.0,"['Action', 'Adventure', 'Comedy']",100000000.0,365971656.0,PG-13,4.0
tt0448694,Puss in Boots,2011,90.0,"['Action', 'Adventure', 'Animation']",130000000.0,554987477.0,PG,10.0
tt0451279,Wonder Woman,2017,141.0,"['Action', 'Adventure', 'Fantasy']",149000000.0,822824522.0,PG-13,6.0
tt0453562,42,2013,128.0,"['Biography', 'Drama', 'Sport']",40000000.0,97470701.0,PG-13,4.0
tt0454876,Life of Pi,2012,127.0,"['Adventure', 'Drama', 'Fantasy']",120000000.0,609016565.0,PG,11.0
tt0455323,Being Flynn,2012,102.0,['Drama'],,983124.0,R,3.0
tt0455407,The Crazies,2010,101.0,"['Horror', 'Thriller']",20000000.0,54806823.0,R,2.0
tt0455944,The Equalizer,2014,132.0,"['Action', 'Crime', 'Thriller']",55000000.0,192330738.0,R,9.0
tt0458339,Captain America: The First Avenger,2011,124.0,"['Action', 'Adventure', 'Sci-Fi']",140000000.0,370569774.0,PG-13,7.0
tt0458481,Sin City: A Dame to Kill For,2014,102.0,"['Crime', 'Thriller']",65000000.0,39407616.0,R,8.0
tt0460890,The Only Living Boy in New York,2017,89.0,['Drama'],,2550321.0,R,8.0
tt0464154,Piranha 3D,2010,88.0,"['Comedy', 'Horror']",24000000.0,83188165.0,R,8.0
tt0466893,Margaret,2011,150.0,['Drama'],14000000.0,564864.0,R,9.0
tt0471042,Tower Heist,2011,104.0,"['Action', 'Comedy', 'Crime']",75000000.0,152930623.0,PG-13,11.0
tt0472181,The Smurfs,2011,103.0,"['Adventure', 'Animation', 'Comedy']",110000000.0,563749323.0,PG,7.0
tt0472399,The Mechanic,2011,93.0,"['Action', 'Crime', 'Thriller']",40000000.0,76130093.0,R,1.0
tt0473075,Prince of Persia: The Sands of Time,2010,116.0,"['Action', 'Adventure', 'Fantasy']",200000000.0,336365676.0,PG-13,5.0
tt0475290,"Hail, Caesar!",2016,106.0,"['Comedy', 'Drama', 'Music']",22000000.0,63945241.0,PG-13,2.0
tt0477080,Unstoppable,2010,98.0,"['Action', 'Thriller']",100000000.0,167805466.0,PG-13,11.0
tt0477302,Extremely Loud & Incredibly Close,2011,129.0,"['Adventure', 'Drama', 'Mystery']",40000000.0,55247881.0,PG-13,1.0
tt0478304,The Tree of Life,2011,139.0,"['Drama', 'Fantasy']",32000000.0,58409247.0,PG-13,5.0
tt0478970,Ant-Man,2015,117.0,"['Action', 'Adventure', 'Comedy']",130000000.0,519311965.0,PG-13,7.0
tt0479997,Season of the Witch,2011,95.0,"['Action', 'Adventure', 'Fantasy']",40000000.0,91627228.0,PG-13,1.0
tt0480239,Atlas Shrugged: Part I,2011,97.0,"['Drama', 'Mystery', 'Sci-Fi']",20000000.0,4627375.0,PG-13,4.0
tt0480255,The Losers,2010,97.0,"['Action', 'Adventure', 'Crime']",25000000.0,29397654.0,PG-13,4.0
tt0480687,Hall Pass,2011,105.0,"['Comedy', 'Romance']",36000000.0,86157237.0,R,2.0
tt0481499,The Croods,2013,98.0,"['Action', 'Adventure', 'Animation']",135000000.0,587235983.0,PG,3.0
tt0485985,Red Tails,2012,125.0,"['Action', 'Adventure', 'Drama']",58000000.0,50365498.0,PG-13,1.0
tt0490075,Aftermath,2013,84.0,"['Crime', 'Thriller']",,3451.0,R,3.0
tt0490215,Silence,2016,161.0,"['Adventure', 'Drama', 'History']",46000000.0,23834809.0,R,1.0
