,tconst,original_title,start_year,runtime_minutes,genres,budget,ww_gross,mpaa_rating,month
0,tt0249516,Foodfight!,2012,91.0,"Action,Animation,Comedy","{'amount': 65000000.0, 'currency': 'USD'}",120141.0,PG,2.0
1,tt0326965,In My Sleep,2010,104.0,"Drama,Mystery,Thriller","{'amount': 1000000.0, 'currency': 'USD'}",30158.0,PG-13,4.0
2,tt0331314,Bunyan and Babe,2017,84.0,"Adventure,Animation,Comedy",,72060.0,PG,1.0
3,tt0359950,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama","{'amount': 90000000, 'currency': 'USD'}",188133322.0,PG,12.0
4,tt0365907,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama","{'amount': 28000000, 'currency': 'USD'}",58834384.0,R,9.0
5,tt0369610,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi","{'amount': 150000000, 'currency': 'USD'}",1670516444.0,PG-13,6.0
6,tt0372538,Spy,2011,110.0,"Action,Crime,Drama","{'amount': 5000000.0, 'currency': 'USD'}",235600000.0,Not Rated,8.0
7,tt0376136,The Rum Diary,2011,119.0,"Comedy,Drama","{'amount': 45000000, 'currency': 'USD'}",30134958.0,R,10.0
8,tt0383010,The Three Stooges,2012,92.0,"Comedy,Family","{'amount': 30000000, 'currency': 'USD'}",54819301.0,PG,4.0
9,tt0398286,Tangled,2010,100.0,"Adventure,Animation,Comedy","{'amount': 260000000, 'currency': 'USD'}",592462816.0,PG,11.0
10,tt0401729,John Carter,2012,132.0,"Action,Adventure,Sci-Fi","{'amount': 250000000, 'currency': 'USD'}",284139100.0,PG-13,3.0
11,tt0404978,Gambit,2012,89.0,"Comedy,Crime",,10200000.0,PG-13,4.0
12,tt0409847,Cowboys & Aliens,2011,119.0,"Action,Sci-Fi,Thriller","{'amount': 163000000, 'currency': 'USD'}",174822325.0,PG-13,7.0
13,tt0411951,Tekken,2010,87.0,"Action,Crime,Drama","{'amount': 30000000.0, 'currency': 'USD'}",1697207.0,R,7.0
14,tt0420293,The Stanford Prison Experiment,2015,122.0,"Biography,Drama,History",,663114.0,R,7.0
15,tt0427152,Dinner for Schmucks,2010,114.0,Comedy,"{'amount': 69000000, 'currency': 'USD'}",86855739.0,PG-13,7.0
16,tt0427543,A Million Little Pieces,2018,113.0,Drama,,89825.0,R,12.0
17,tt0429493,The A-Team,2010,117.0,"Action,Adventure,Thriller","{'amount': 110000000, 'currency': 'USD'}",177238796.0,PG-13,6.0
18,tt0431021,The Possession,2012,92.0,"Horror,Mystery,Thriller","{'amount': 14000000, 'currency': 'USD'}",85446075.0,PG-13,8.0
19,tt0433035,Real Steel,2011,127.0,"Action,Drama,Family","{'amount': 110000000.0, 'currency': 'USD'}",299268508.0,PG-13,10.0
20,tt0435651,The Giver,2014,97.0,"Drama,Romance,Sci-Fi","{'amount': 25000000, 'currency': 'USD'}",66980456.0,PG-13,8.0
21,tt0435761,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy","{'amount': 200000000, 'currency': 'USD'}",1066970811.0,G,6.0
22,tt0437086,Alita: Battle Angel,2019,122.0,"Action,Adventure,Sci-Fi","{'amount': 170000000, 'currency': 'USD'}",404980543.0,PG-13,2.0
23,tt0443272,Lincoln,2012,150.0,"Biography,Drama,History","{'amount': 65000000, 'currency': 'USD'}",275293450.0,PG-13,11.0
24,tt0443465,Before We Go,2014,95.0,"Comedy,Drama,Romance",,462875.0,PG-13,7.0
25,tt0446029,Scott Pilgrim vs. the World,2010,112.0,"Action,Comedy,Fantasy","{'amount': 60000000, 'currency': 'USD'}",48917974.0,PG-13,8.0
26,tt0448022,A Bird of the Air,2011,108.0,"Drama,Romance",,10152.0,PG-13,9.0
27,tt0448115,Shazam!,2019,132.0,"Action,Adventure,Comedy","{'amount': 100000000, 'currency': 'USD'}",365971656.0,PG-13,4.0
28,tt0448694,Puss in Boots,2011,90.0,"Action,Adventure,Animation","{'amount': 130000000, 'currency': 'USD'}",554987477.0,PG,10.0
29,tt0451279,Wonder Woman,2017,141.0,"Action,Adventure,Fantasy","{'amount': 149000000, 'currency': 'USD'}",822824522.0,PG-13,6.0
30,tt0453562,42,2013,128.0,"Biography,Drama,Sport","{'amount': 40000000, 'currency': 'USD'}",97470701.0,PG-13,4.0
31,tt0454876,Life of Pi,2012,127.0,"Adventure,Drama,Fantasy","{'amount': 120000000, 'currency': 'USD'}",609016565.0,PG,11.0
32,tt0455323,Being Flynn,2012,102.0,Drama,,983124.0,R,3.0
33,tt0455407,The Crazies,2010,101.0,"Horror,Thriller","{'amount': 20000000, 'currency': 'USD'}",54806823.0,R,2.0
34,tt0455944,The Equalizer,2014,132.0,"Action,Crime,Thriller","{'amount': 55000000, 'currency': 'USD'}",192330738.0,R,9.0
35,tt0458339,Captain America: The First Avenger,2011,124.0,"Action,Adventure,Sci-Fi","{'amount': 140000000, 'currency': 'USD'}",370569774.0,PG-13,7.0
36,tt0458481,Sin City: A Dame to Kill For,2014,102.0,"Crime,Thriller","{'amount': 65000000.0, 'currency': 'USD'}",39407616.0,R,8.0
37,tt0460890,The Only Living Boy in New York,2017,89.0,Drama,,2550321.0,R,8.0
38,tt0464154,Piranha 3D,2010,88.0,"Comedy,Horror","{'amount': 24000000, 'currency': 'USD'}",83188165.0,R,8.0
39,tt0466893,Margaret,2011,150.0,Drama,"{'amount': 14000000, 'currency': 'USD'}",564864.0,R,9.0
40,tt0471042,Tower Heist,2011,104.0,"Action,Comedy,Crime","{'amount': 75000000, 'currency': 'USD'}",152930623.0,PG-13,11.0
41,tt0472181,The Smurfs,2011,103.0,"Adventure,Animation,Comedy","{'amount': 110000000, 'currency': 'USD'}",563749323.0,PG,7.0
42,tt0472399,The Mechanic,2011,93.0,"Action,Crime,Thriller","{'amount': 40000000, 'currency': 'USD'}",76130093.0,R,1.0
43,tt0473075,Prince of Persia: The Sands of Time,2010,116.0,"Action,Adventure,Fantasy","{'amount': 200000000, 'currency': 'USD'}",336365676.0,PG-13,5.0
