,tconst,mpaa_rating,release_date
0,tt0249516,PG,2013-02-12
1,tt0326965,PG-13,2010-04-23
2,tt0331314,PG,2017-01-12
3,tt0359950,PG,2013-12-25
4,tt0365907,R,2014-09-19
5,tt0369610,PG-13,2015-06-12
6,tt0372538,Not Rated,
7,tt0376136,R,2011-10-28
8,tt0383010,PG,2012-04-13
9,tt0398286,PG,2010-11-24
10,tt0401729,PG-13,2012-03-09
11,tt0404978,PG-13,2014-04-25
12,tt0409847,PG-13,2011-07-29
13,tt0411951,R,2011-07-19
14,tt0420293,R,2015-07-17
15,tt0427152,PG-13,2010-07-30
16,tt0427543,R,2019-12-06
17,tt0429493,PG-13,2010-06-11
18,tt0431021,PG-13,2012-08-31
19,tt0433035,PG-13,2011-10-07
20,tt0435651,PG-13,2014-08-15
21,tt0435761,G,2010-06-18
22,tt0437086,PG-13,2019-02-14
23,tt0443272,PG-13,2012-11-16
24,tt0443465,PG-13,2015-07-21
25,tt0446029,PG-13,2010-08-13
26,tt0448022,PG-13,2011-09-23
27,tt0448115,PG-13,2019-04-05
28,tt0448694,PG,2011-10-28
29,tt0451279,PG-13,2017-06-02
30,tt0453562,PG-13,2013-04-12
31,tt0454876,PG,2012-11-21
32,tt0455323,R,2012-03-02
33,tt0455407,R,2010-02-26
34,tt0455944,R,2014-09-26
35,tt0458339,PG-13,2011-07-22
36,tt0458481,R,2014-08-22
37,tt0460890,R,2017-08-11
38,tt0464154,R,2010-08-20
39,tt0466893,R,2011-09-30
40,tt0471042,PG-13,2011-11-04
41,tt0472181,PG,2011-07-29
42,tt0472399,R,2011-01-28
43,tt0473075,PG-13,2010-05-28
44,tt0475290,PG-13,2016-02-05
45,tt0477080,PG-13,2010-11-12
46,tt0477302,PG-13,2012-01-20
47,tt0478304,PG-13,2011-05-27
48,tt0478970,PG-13,2015-07-17
49,tt0479997,PG-13,2011-01-07
50,tt0480239,PG-13,2011-04-15
51,tt0480255,PG-13,2010-04-23
52,tt0480687,R,2011-02-25
53,tt0481499,PG,2013-03-22
54,tt0485985,PG-13,2012-01-20
55,tt0490075,R,2013-03-01
56,tt0490215,R,2017-01-13
57,tt0491152,PG-13,2011-05-06
58,tt0493405,R,2017-03-24
59,tt0493949,G,2010-07-23
60,tt0495024,R,2012-10-26
61,tt0498351,G,2015-07-31
62,tt0498381,PG-13,2017-02-03
63,tt0756727,Not Rated,2006-02-04
64,tt0758752,R,2010-11-24
65,tt0762138,R,2013-05-01
66,tt0763831,PG-13,2012-03-09
67,tt0765446,PG,2013-02-15
68,tt0770703,R,2011-09-30
69,tt0770802,PG-13,2012-02-01
70,tt0770828,PG-13,2013-06-14
71,tt0775440,R,2016-06-10
72,tt0775543,R,2010-12-03
73,tt0780504,R,2011-09-16
74,tt0780548,Not Rated,2014-04-18
75,tt0780645,Not Rated,2013-01-01
76,tt0780653,R,2010-02-12
77,tt0787474,PG,2014-09-26
78,tt0790628,PG-13,2013-03-15
79,tt0790636,R,2013-11-22
80,tt0790724,PG-13,2012-12-21
81,tt0790736,PG-13,2013-07-19
82,tt0790770,R,2016-04-22
83,tt0795461,PG-13,2013-04-12
84,tt0798817,R,2010-03-13
85,tt0800320,PG-13,2010-04-02
86,tt0800369,PG-13,2011-05-06
87,tt0804463,Not Rated,2014-05-09
88,tt0804497,PG-13,2010-10-08
89,tt0808510,PG,2010-01-22
90,tt0810913,PG,2011-11-11
91,tt0810922,R,2011-03-04
92,tt0811137,R,2012-03-11
93,tt0815236,R,2010-03-12
94,tt0816442,PG-13,2013-11-27
95,tt0816462,R,2011-08-19
96,tt0816711,PG-13,2013-06-21
97,tt0817177,PG,2010-09-10
98,tt0817230,PG-13,2010-02-12
99,tt0817545,R,2013-02-15
100,tt0818098,R,2010-02-19
101,tt0822847,PG-13,2011-05-13
102,tt0825283,PG-13,2016-08-30
103,tt0829150,PG-13,2014-10-10
104,tt0829176,R,2013-08-06
105,tt0831387,PG-13,2014-05-16
106,tt0835418,R,2012-03-09
107,tt0835802,R,2018-04-13
108,tt0837559,PG,2013-08-30
109,tt0837562,PG,2012-09-28
110,tt0837563,R,2019-04-05
111,tt0840361,R,2010-09-17
112,tt0842926,R,2010-07-30
113,tt0844993,PG,2011-04-29
114,tt0848228,PG-13,2012-05-04
115,tt0848537,PG,2013-05-24
116,tt0850677,R,2012-04-20
117,tt0859635,R,2018-04-20
118,tt0864835,PG,2014-03-07
119,tt0865561,R,2012-08-07
120,tt0872230,R,2010-10-08
121,tt0873886,R,2011-01-23
122,tt0878814,Not Rated,2012-04-26
123,tt0878835,R,2010-06-18
124,tt0879870,PG-13,2010-08-13
125,tt0881320,R,2011-02-04
126,tt0882977,PG-13,2013-02-22
127,tt0884726,PG,2014-05-09
128,tt0884732,R,2015-01-16
129,tt0889573,PG-13,2010-08-20
130,tt0892318,PG,2010-05-14
131,tt0892769,PG,2010-03-26
132,tt0892791,PG,2010-05-21
133,tt0914863,R,2010-06-15
134,tt0935075,PG-13,2011-01-28
135,tt0938283,PG,2010-07-01
136,tt0944835,PG-13,2010-07-23
137,tt0945513,PG-13,2011-04-01
138,tt0947798,R,2010-12-17
139,tt0948470,PG-13,2012-07-03
140,tt0955308,PG-13,2010-05-14
141,tt0959306,PG-13,2014-11-21
142,tt0960730,Not Rated,2010-04-02
143,tt0963966,PG,2010-07-14
144,tt0964517,R,2010-12-17
145,tt0968264,PG-13,2011-04-15
146,tt0970866,PG-13,2010-12-22
147,tt0974015,PG-13,2017-11-17
148,tt0975645,PG-13,2012-12-14
149,tt0977855,PG-13,2010-12-03
150,tt0978764,PG-13,2011-03-25
151,tt0979434,PG-13,2010-08-20
152,tt0980970,PG,2010-12-10
153,tt0983193,PG,2011-12-21
154,tt0984210,R,2010-04-08
155,tt0985694,R,2010-09-03
156,tt0989757,PG-13,2010-02-05
157,tt0990407,PG-13,2011-01-14
158,tt0993842,PG-13,2011-04-08
159,tt0993846,R,2013-12-25
160,tt0995845,R,2013-06-08
161,tt0995868,PG,2016-05-13
162,tt0997152,R,2010-09-21
163,tt0999913,R,2011-09-16
164,tt1001526,PG,2010-11-05
165,tt1002563,PG-13,2016-03-11
166,tt1013743,PG-13,2010-06-23
167,tt1013860,PG-13,2011-04-29
168,tt1014759,PG,2010-03-05
169,tt1015471,PG-13,2014-10-18
170,tt1017451,R,2010-01-24
171,tt1017464,R,2012-05-11
172,tt1018765,R,2015-10-30
173,tt1023114,PG-13,2011-01-21
174,tt1024648,R,2012-10-12
175,tt1024770,Not Rated,2012-07-21
176,tt1025102,PG-13,2013-03-22
177,tt1027718,PG-13,2010-09-24
178,tt1027820,Not Rated,2012-05-04
179,tt1028576,PG,2010-10-08
180,tt1029360,PG-13,2015-05-22
181,tt1032751,R,2010-12-03
182,tt1033575,R,2011-12-09
183,tt1034293,Not Rated,2011-09-29
184,tt1037222,PG,2013-05-28
185,tt1037705,R,2010-01-15
186,tt1038686,R,2010-01-22
187,tt1038919,PG-13,2010-03-19
188,tt1043726,PG-13,2014-01-10
189,tt1046171,R,2012-01-31
190,tt1047540,PG,2012-12-25
191,tt1049402,R,2010-01-21
192,tt1051904,PG,2015-10-16
193,tt1053424,R,2010-03-19
194,tt1053810,PG,2011-10-14
195,tt1055292,PG-13,2010-10-08
196,tt1059317,Not Rated,2012-01-13
197,tt1059836,R,2012-04-13
198,tt1065073,R,2014-08-15
199,tt1067583,PG-13,2011-04-22
200,tt1067765,R,2014-02-14
201,tt1068242,PG-13,2011-10-14
202,tt1068961,Not Rated,2011
203,tt1071875,PG-13,2012-02-17
204,tt1075747,PG-13,2010-06-18
205,tt1077368,PG-13,2012-05-11
206,tt1079964,Not Rated,2010-05-01
207,tt1082807,R,2017-03-17
208,tt1085492,R,2014-08-22
209,tt1086772,PG-13,2014-05-23
210,tt1091191,R,2014-01-10
211,tt1092026,R,2011-03-18
212,tt1093355,Not Rated,2012-01-20
213,tt1093357,PG-13,2011-12-25
214,tt1094666,PG-13,2011-10-27
215,tt1096999,,2014-03-08
216,tt1100051,R,2010-07-16
217,tt1100089,R,2015-01-16
218,tt1103153,PG-13,2010-06-04
219,tt1103273,R,2011-03-25
220,tt1104001,PG,2010-12-17
221,tt1105355,PG-13,2017-02-03
222,tt1106860,R,2010-03-26
223,tt1107319,R,2011-06-19
224,tt1109488,Not Rated,2010-12-03
225,tt1109574,R,2012-10-05
226,tt1111235,R,2010
227,tt1113829,Not Rated,2011-09-02
228,tt1116184,R,2010-10-15
229,tt1120985,R,2011-01-28
230,tt1121096,PG-13,2015-02-06
231,tt1121986,PG-13,2012-09-21
232,tt1122614,Not Rated,2010-01
233,tt1124035,R,2011-10-07
234,tt1124037,R,2016-06-24
235,tt1126590,PG-13,2014-12-25
236,tt1126591,PG-13,2010-11-24
237,tt1126618,PG-13,2010-11-10
238,tt1127883,PG-13,2012-04-20
239,tt1127886,Not Rated,2011-01
240,tt1129396,R,2014-06-27
241,tt1129412,Not Rated,2010-09-11
242,tt1129427,R,2011-06-01
243,tt1130884,R,2010-02-19
244,tt1130964,PG-13,2011-03-25
245,tt1131728,Not Rated,2018-02-09
246,tt1132449,R,2012-01-21
247,tt1133985,PG-13,2011-06-17
248,tt1135084,PG-13,2010-08-27
249,tt1137450,R,2018-03-02
250,tt1137470,PG-13,2015-02-10
