,tconst,primary_title,original_title,start_year,runtime_minutes,genres,country,budget,ww_gross,ww_currency,domestic_gross_x,domestic_currency,int_gross,int_currency,release_date_x,mpaa_rating,tmdb_id
0,tt0230212,The Final Journey,The Final Journey,2010,120.0,Drama,US,,,,,,,,2010-09-20,,
1,tt0312305,Quantum Quest: A Cassini Space Odyssey,Quantum Quest: A Cassini Space Odyssey,2010,45.0,"Adventure,Animation,Sci-Fi",US,"{'amount': 20000000.0, 'currency': 'USD'}",,,,,,,2012-12-02,,23738.0
2,tt0326592,The Overnight,The Overnight,2010,88.0,,US,"$200,000","$1,165,996",,"$1,109,808",,,,2010-12,,
3,tt0326965,In My Sleep,In My Sleep,2010,104.0,"Drama,Mystery,Thriller",US,"{'amount': 1000000.0, 'currency': 'USD'}",30158.0,USD,30158.0,USD,,,2010-04-23,PG-13,40048.0
4,tt0331312,This Wretched Life,This Wretched Life,2010,99.0,"Comedy,Drama",US,,,,,,,,2010-07-28,,214026.0
5,tt0337882,Blind Sided,Blind Sided,2010,,"Comedy,Crime,Drama",US,,,,,,,,,,
6,tt0393049,Anderson's Cross,Anderson's Cross,2010,98.0,"Comedy,Drama,Romance",US,"{'amount': 300000.0, 'currency': 'USD'}",$0,,$0,,,,2010-05-20,R,324352.0
7,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",US,"{'amount': 260000000, 'currency': 'USD'}",592462816.0,USD,200821936.0,USD,391640880.0,USD,2010-11-24,PG,
8,tt0402887,Capture the Flag,Capture the Flag,2010,,Drama,US,,,,6700.0,,24600000,,,,
9,tt0411951,Tekken,Tekken,2010,87.0,"Action,Crime,Drama",US,"{'amount': 30000000.0, 'currency': 'USD'}",1697207.0,USD,,,1697207.0,USD,2011-07-19,R,42194.0
10,tt0417750,Hempsters: Plant the Seed,Hempsters: Plant the Seed,2010,90.0,Documentary,US,"{'amount': 250000.0, 'currency': 'USD'}",,,,,,,2010-10-08,TV-G,68398.0
