,tmdb_id,release_date_tmdb,genres_tmdb,budget_tmdb
0,435995,2017-01-12,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",
1,323867,2011-08-09,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",5000000.0
2,97434,2012-04-25,"['Comedy', 'Crime']",
3,308032,2015-07-17,['Thriller'],
4,499566,2019-08-30,['Drama'],
5,283350,2014-09-11,"['Drama', 'Romance', 'Comedy']",
6,70736,2011-09-23,"['Drama', 'Romance']",
7,78571,2012-03-02,['Drama'],
8,95608,2017-07-27,['Drama'],
9,171688,2013-11-01,"['Thriller', 'Crime']",
10,217057,2014-10-03,['Animation'],
11,53079,2010-10-26,"['Documentary', 'Music']",
12,168098,2016-07-06,"['Horror', 'Science Fiction', 'Thriller']",
13,48833,2010-12-03,"['Drama', 'Romance']",
14,316000,2016-01-22,"['Drama', 'Music', 'History']",
15,96987,2012-07-06,['Comedy'],
16,339116,2016-09-30,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction', 'Thriller']",
17,98066,2012-08-03,['Comedy'],
18,10148,2018-04-13,"['Drama', 'Comedy']",
19,105531,2012-11-02,"['Drama', 'Horror', 'Romance']",
20,112161,2012-06-01,"['Comedy', 'Romance']",
21,220746,2012-04-26,"['Comedy', 'Romance']",
22,226247,2010-04-02,['Documentary'],
23,245913,2016-05-06,['Drama'],
24,127413,2011-07-08,[],
25,187462,2013-04-01,"['Adventure', 'Family', 'Science Fiction']",
26,82693,2012-09-08,"['Drama', 'Comedy', 'Romance']",21000000.0
27,38568,2010-08-26,['Drama'],5000000.0
28,295563,2012-01-13,['Comedy'],
29,48837,2011-03-04,"['Drama', 'Horror', 'Action']",
30,74447,2010-10-26,"['Drama', 'History']",
31,253305,2014-03-08,['Documentary'],
32,55632,2010-09-15,['Comedy'],
33,137566,2012-09-13,['Drama'],
34,587506,2010-03-09,['Horror'],
35,75964,2011-10-05,"['Music', 'Documentary']",
36,50779,2010-06-04,['Documentary'],
37,140443,2012-01-15,"['Drama', 'Thriller', 'Romance']",
38,98644,2011-01-21,"['Adventure', 'Drama', 'Romance']",
39,51875,2010-06-10,"['Crime', 'Comedy']",
40,271715,2017-11-06,"['Comedy', 'Music', 'Romance']",
41,55341,2017-09-26,"['Horror', 'Mystery', 'Thriller']",6200000.0
42,273488,2014-08-08,"['Mystery', 'Drama']",
43,180607,2011-01-06,"['Drama', 'Romance']",
44,77876,2011-11-25,['Documentary'],
45,70588,2011-07-22,"['Romance', 'Comedy', 'Drama']",30000.0
46,46503,2010-12-03,"['Drama', 'Mystery', 'Thriller', 'Crime', 'Romance']",
47,244509,2014-05-23,"['Drama', 'Thriller']",
48,56591,2011-12-16,['Documentary'],
49,35458,2010-01-08,"['Comedy', 'Romance']",
50,41602,2013-02-09,"['Action', 'Comedy', 'Drama', 'Romance', 'Thriller']",
51,290542,2014-10-10,['Drama'],
52,59435,2010-10-06,"['Family', 'Drama', 'Romance', 'Comedy']",
53,245916,2014-10-09,"['Thriller', 'Crime', 'Drama', 'Mystery']",5000000.0
54,54985,2011-03-16,['Documentary'],
55,94026,2011-09-02,['Documentary'],
56,523792,2017-12-31,"['Drama', 'Thriller']",
57,121879,2012-11-02,"['Music', 'Drama']",
58,330793,2011-09-15,"['War', 'Drama']",
59,310137,2015-06-26,"['Thriller', 'Horror']",
60,69778,2011-09-02,['Comedy'],
61,27583,2010-03-26,"['Comedy', 'Drama', 'Romance']",
62,57211,2011-08-05,"['Documentary', 'Music']",
63,53344,2010-03-15,"['Music', 'Documentary']",
64,39957,2010-08-17,"['Drama', 'Horror', 'Thriller']",
65,86726,2011-03-04,"['Documentary', 'History']",
66,140781,2011-07-17,"['Thriller', 'Horror']",
67,71112,2011-08-19,"['Horror', 'Action', 'Thriller', 'Science Fiction']",
68,85431,2011-03-02,"['Comedy', 'Romance']",
69,58493,2010-01-01,['Documentary'],
70,152756,2013-10-18,"['Comedy', 'Drama']",
71,49057,2010-09-10,"['Comedy', 'Drama', 'Romance']",
72,58884,2010-04-29,['Drama'],
73,51462,2010-01-01,"['Drama', 'Action', 'Thriller']",
74,48373,2010-08-14,"['Drama', 'Music', 'Romance']",
75,124071,2012-09-07,['Documentary'],
76,43943,2010-09-23,"['Comedy', 'Drama', 'Romance']",
77,47912,2010-07-30,['Documentary'],
78,45014,2010-04-28,['Drama'],
79,61629,2011-04-29,"['Drama', 'Romance']",
80,316021,2016-12-09,"['Drama', 'Mystery', 'Romance']",
81,339527,2015-09-03,"['Thriller', 'Crime', 'Mystery']",
82,127878,2012-09-09,['Documentary'],
83,35656,2010-01-25,"['Action', 'Adventure', 'Thriller']",
84,23830,2010-11-05,"['Drama', 'Romance']",7000000.0
85,152790,2014-05-23,"['Drama', 'Comedy']",
86,211249,2010-11-04,['Drama'],
87,69878,2011-03-11,['Drama'],
88,55567,2010-07-16,"['Comedy', 'Music', 'Family']",
89,70448,2010-05-01,['Horror'],
90,70862,2011-02-04,['Documentary'],
91,46062,2010-01-24,"['Action', 'Comedy', 'Drama']",
92,102855,2013-03-16,"['Documentary', 'Music']",
93,115283,2013-10-03,['Comedy'],
94,157370,2013-09-19,"['Drama', 'Romance', 'Thriller']",1030064.0
95,54602,2011-05-13,['Drama'],
96,89008,2011-09-09,"['Comedy', 'Romance', 'Drama']",7000000.0
97,68412,2010-01-24,['Drama'],
98,47320,2010-10-08,"['Comedy', 'Drama', 'Romance']",
99,50838,2011-04-01,"['Mystery', 'Thriller']",
100,65056,2010-07-22,"['Comedy', 'Drama', 'Romance']",
101,72711,2011-07-29,['Documentary'],
102,214317,2013-09-27,['Drama'],
103,335805,2015-07-01,"['War', 'Drama']",
104,44363,2010-02-05,['Thriller'],
105,54075,2011-01-17,"['Crime', 'Drama', 'Horror', 'Thriller']",
106,47891,2010-10-01,"['Crime', 'Horror', 'Mystery', 'Thriller']",
107,352885,2017-01-13,['Drama'],
108,58550,2010-03-27,"['Drama', 'Romance']",
109,151020,2012-09-16,"['Horror', 'Drama']",
110,209523,2011-01-22,['Action'],
111,56272,2011-03-11,"['Comedy', 'Drama']",
