,tmdb_id,mpaa_rating_tmdb
0,82693,R
1,53344,NR
2,70448,R
3,58550,R
4,209523,PG-13
5,44010,NR
6,74227,NR
7,269640,NR
8,59962,PG-13
9,359348,NR
10,121106,NR
11,199656,NR
12,309729,PG
13,528526,PG-13
14,209556,NR
15,159652,NR
16,283271,NR
17,159631,NR
18,313705,NR
19,217921,NR
20,330982,NR
21,336472,NR
22,258358,NR
23,309521,NR
24,535415,NR
25,630689,NR
26,402714,NR
27,385581,NR
28,332286,R
29,436775,R
30,483400,NR
31,430364,PG-13
32,375785,PG-13
33,399174,PG-13
34,553838,NR
35,401846,G
36,415086,NR
37,526047,NR
38,509594,NR
39,524787,NR
40,402215,R
41,517084,NR
42,455565,PG-13
43,454904,NR
44,454291,G
45,462134,NR
46,545612,R
47,531165,NR
48,473418,NR
49,502194,NR
50,580468,G
51,652385,NR
52,532183,PG-13
53,618159,NR
54,502234,PG
55,523427,NR
